"metr" "Region" "Disease" "burden"
"704" "yll" "Sub-Saharian Africa" "Cardiovascular and circulatory diseases" 16911066.262498
"705" "yll" "Sub-Saharian Africa" "Chronic respiratory diseases" 5833976.11981
"706" "yll" "Sub-Saharian Africa" "Cirrhosis of the liver" 3356990.2585
"707" "yll" "Sub-Saharian Africa" "Congenital anomalies" 6875511.014
"708" "yll" "Sub-Saharian Africa" "Diabetes, urinary diseases and male infertility" 5953693.61522
"709" "yll" "Sub-Saharian Africa" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 121829287.796016
"710" "yll" "Sub-Saharian Africa" "Digestive diseases (except cirrhosis)" 5377546.790563
"711" "yll" "Sub-Saharian Africa" "Gynecological diseases" 27254.11507
"712" "yll" "Sub-Saharian Africa" "Hemoglobinopathies and hemolytic anemias" 2292744.0364
"713" "yll" "Sub-Saharian Africa" "Hepatitis" 1773220.1267
"714" "yll" "Sub-Saharian Africa" "HIV/AIDS" 70492556.21708
"715" "yll" "Sub-Saharian Africa" "Leprosy" 0
"716" "yll" "Sub-Saharian Africa" "Malaria" 88425094.01
"717" "yll" "Sub-Saharian Africa" "Maternal disorders" 7872963.901903
"718" "yll" "Sub-Saharian Africa" "Mental and behavioral disorders" 620289.06043
"719" "yll" "Sub-Saharian Africa" "Musculoskeletal disorders" 523501.39997
"720" "yll" "Sub-Saharian Africa" "Neglected tropical diseases excluding malaria" 2556567.4222737
"721" "yll" "Sub-Saharian Africa" "Neonatal disorders" 61720147.805
"722" "yll" "Sub-Saharian Africa" "Neoplasms" 9446337.74641
"723" "yll" "Sub-Saharian Africa" "Neurological disorders" 5027280.46636
"724" "yll" "Sub-Saharian Africa" "Nutritional deficiencies" 23075192.280171
"725" "yll" "Sub-Saharian Africa" "Sexually transmitted diseases excluding HIV" 6806029.8495
"726" "yll" "Sub-Saharian Africa" "Skin and subcutaneous diseases" 1142393.3593
"727" "yll" "Sub-Saharian Africa" "Sudden infant death syndrome" 460110.98746
"728" "yll" "Sub-Saharian Africa" "Tuberculosis" 13526432.8546
"729" "daly" "Central Europe, Eastern Europe, and Central Asia" "all" 151517873.106757
"730" "daly" "High-income" "all" 231551261.451313
"731" "daly" "Latin America and Caribbean" "all" 115507386.951616
"732" "daly" "North Africa and Middle East" "all" 102273396.008358
"733" "daly" "South Asia" "all" 610711947.47999
"734" "daly" "Southeast Asia, East Asia and Oceania" "all" 460946821.574246
"735" "daly" "Sub-Saharian Africa" "all" 547554824.228482
"736" "death" "Central Europe, Eastern Europe, and Central Asia" "all" 4770575.79661667
"737" "death" "High-income" "all" 7919554.40715555
"738" "death" "Latin America and Caribbean" "all" 2281713.74998083
"739" "death" "North Africa and Middle East" "all" 1745096.22378691
"740" "death" "South Asia" "all" 10687930.840054
"741" "death" "Southeast Asia, East Asia and Oceania" "all" 10997513.5910613
"742" "death" "Sub-Saharian Africa" "all" 7848145.6579377
"743" "yld" "Central Europe, Eastern Europe, and Central Asia" "all" 48216061.2968583
"744" "yld" "High-income" "all" 113302937.408978
"745" "yld" "Latin America and Caribbean" "all" 49417684.8126471
"746" "yld" "North Africa and Middle East" "all" 41378752.2149453
"747" "yld" "South Asia" "all" 161606480.764399
"748" "yld" "Southeast Asia, East Asia and Oceania" "all" 171715945.413827
"749" "yld" "Sub-Saharian Africa" "all" 85628503.1332791
"750" "yll" "Central Europe, Eastern Europe, and Central Asia" "all" 103301817.929403
"751" "yll" "High-income" "all" 118248297.933341
"752" "yll" "Latin America and Caribbean" "all" 66089702.4080675
"753" "yll" "North Africa and Middle East" "all" 60894646.6638839
"754" "yll" "South Asia" "all" 449105365.500933
"755" "yll" "Southeast Asia, East Asia and Oceania" "all" 289230820.725227
"756" "yll" "Sub-Saharian Africa" "all" 461926187.495235
"757" "daly" "All" "Cardiovascular and circulatory diseases" 287404109.09231
"758" "daly" "All" "Chronic respiratory diseases" 112485355.22285
"759" "daly" "All" "Cirrhosis of the liver" 30462721.1164
"760" "daly" "All" "Congenital anomalies" 43254504.439
"761" "daly" "All" "Diabetes, urinary diseases and male infertility" 75821480.094146
"762" "daly" "All" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 329285536.746641
"763" "daly" "All" "Digestive diseases (except cirrhosis)" 32576108.318736
"764" "daly" "All" "Gynecological diseases" 9710285.172
"765" "daly" "All" "Hemoglobinopathies and hemolytic anemias" 15017573.792
"766" "daly" "All" "Hepatitis" 12551046.12621
"767" "daly" "All" "HIV/AIDS" 96159861.93381
"768" "daly" "All" "Leprosy" 8539.55289646
"769" "daly" "All" "Malaria" 101344543.578229
"770" "daly" "All" "Maternal disorders" 18526977.296265
"771" "daly" "All" "Mental and behavioral disorders" 171914381.39523
"772" "daly" "All" "Musculoskeletal disorders" 151554779.387277
"773" "daly" "All" "Neglected tropical diseases excluding malaria" 27043024.7392441
"774" "daly" "All" "Neonatal disorders" 220288076.01977
"775" "daly" "All" "Neoplasms" 176868544.26445
"776" "daly" "All" "Neurological disorders" 65826670.81902
"777" "daly" "All" "Nutritional deficiencies" 89065270.1023176
"778" "daly" "All" "Oral disorders" 14336517.7758
"779" "daly" "All" "Sense organ diseases" 32290593.297
"780" "daly" "All" "Sexually transmitted diseases excluding HIV" 12922191.8968
"781" "daly" "All" "Skin and subcutaneous diseases" 35061984.292
"782" "daly" "All" "Sudden infant death syndrome" 1877956.44856
"783" "daly" "All" "Tuberculosis" 56404877.8818
"784" "death" "All" "Cardiovascular and circulatory diseases" 14726543.7199449
"785" "death" "All" "Chronic respiratory diseases" 3572762.590618
"786" "death" "All" "Cirrhosis of the liver" 990159.446125
"787" "death" "All" "Congenital anomalies" 553886.39191
"788" "death" "All" "Diabetes, urinary diseases and male infertility" 2082326.848938
"789" "death" "All" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 5731176.92034258
"790" "death" "All" "Digestive diseases (except cirrhosis)" 1061974.15397755
"791" "death" "All" "Gynecological diseases" 6369.9771822
"792" "death" "All" "Hemoglobinopathies and hemolytic anemias" 108817.294222
"793" "death" "All" "Hepatitis" 280106.506807
"794" "death" "All" "HIV/AIDS" 1725908.5584359
"795" "death" "All" "Leprosy" 0
"796" "death" "All" "Malaria" 1458750.631342
"797" "death" "All" "Maternal disorders" 298891.951362528
"798" "death" "All" "Mental and behavioral disorders" 214568.084556
"799" "death" "All" "Musculoskeletal disorders" 124660.0335306
"800" "death" "All" "Neglected tropical diseases excluding malaria" 162733.754875405
"801" "death" "All" "Neonatal disorders" 2451889.0761302
"802" "death" "All" "Neoplasms" 7314732.1191985
"803" "death" "All" "Neurological disorders" 1047914.3876906
"804" "death" "All" "Nutritional deficiencies" 706059.50145067
"805" "death" "All" "Sexually transmitted diseases excluding HIV" 141953.7188956
"806" "death" "All" "Skin and subcutaneous diseases" 101869.352596
"807" "death" "All" "Sudden infant death syndrome" 21864.1681467
"808" "death" "All" "Tuberculosis" 1364611.078315
"809" "yld" "All" "Cardiovascular and circulatory diseases" 19596607.312309
"810" "yld" "All" "Chronic respiratory diseases" 45085687.018707
"811" "yld" "All" "Cirrhosis of the liver" 579531.730192
"812" "yld" "All" "Congenital anomalies" 3103715.2332
"813" "yld" "All" "Diabetes, urinary diseases and male infertility" 27778586.1421424
"814" "yld" "All" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 19137287.6725698
"815" "yld" "All" "Digestive diseases (except cirrhosis)" 5237799.5190363
"816" "yld" "All" "Gynecological diseases" 9501345.4852
"817" "yld" "All" "Hemoglobinopathies and hemolytic anemias" 9735325.8895
"818" "yld" "All" "Hepatitis" 517070.72028
"819" "yld" "All" "HIV/AIDS" 4699919.4453719
"820" "yld" "All" "Leprosy" 8539.55289646
"821" "yld" "All" "Malaria" 3884880.4051615
"822" "yld" "All" "Maternal disorders" 1636255.4475279
"823" "yld" "All" "Mental and behavioral disorders" 163905063.11293
"824" "yld" "All" "Musculoskeletal disorders" 148499649.477377
"825" "yld" "All" "Neglected tropical diseases excluding malaria" 18264576.6651943
"826" "yld" "All" "Neonatal disorders" 9368370.6990864
"827" "yld" "All" "Neoplasms" 3927925.1118207
"828" "yld" "All" "Neurological disorders" 39242086.7012
"829" "yld" "All" "Nutritional deficiencies" 51025106.1545418
"830" "yld" "All" "Oral disorders" 14336517.7758
"831" "yld" "All" "Sense organ diseases" 32290593.297
"832" "yld" "All" "Sexually transmitted diseases excluding HIV" 1244485.03747
"833" "yld" "All" "Skin and subcutaneous diseases" 31878496.292
"834" "yld" "All" "Sudden infant death syndrome" 0
"835" "yld" "All" "Tuberculosis" 6780943.14642
"836" "yll" "All" "Cardiovascular and circulatory diseases" 267807387.790028
"837" "yll" "All" "Chronic respiratory diseases" 67399684.65133
"838" "yll" "All" "Cirrhosis of the liver" 29883176.0549
"839" "yll" "All" "Congenital anomalies" 40150785.446
"840" "yll" "All" "Diabetes, urinary diseases and male infertility" 48042869.768465
"841" "yll" "All" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 310148264.983857
"842" "yll" "All" "Digestive diseases (except cirrhosis)" 27338311.920233
"843" "yll" "All" "Gynecological diseases" 208937.629815
"844" "yll" "All" "Hemoglobinopathies and hemolytic anemias" 5282265.4981
"845" "yll" "All" "Hepatitis" 12033970.78307
"846" "yll" "All" "HIV/AIDS" 91459894.88628
"847" "yll" "All" "Leprosy" 0
"848" "yll" "All" "Malaria" 97459637.59409
"849" "yll" "All" "Maternal disorders" 16890721.9185609
"850" "yll" "All" "Mental and behavioral disorders" 8009303.22748
"851" "yll" "All" "Musculoskeletal disorders" 3055120.54493
"852" "yll" "All" "Neglected tropical diseases excluding malaria" 8778447.13016771
"853" "yll" "All" "Neonatal disorders" 210919626.96221
"854" "yll" "All" "Neoplasms" 172940617.330398
"855" "yll" "All" "Neurological disorders" 26584575.16703
"856" "yll" "All" "Nutritional deficiencies" 38040154.8603769
"857" "yll" "All" "Sexually transmitted diseases excluding HIV" 11677707.447409
"858" "yll" "All" "Skin and subcutaneous diseases" 3183483.8673
"859" "yll" "All" "Sudden infant death syndrome" 1877956.44856
"860" "yll" "All" "Tuberculosis" 49623936.7455
